Gait Up - Physilog data export
Created on: 0000-00-03 23:03:49
Total data points: 1193

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
7.46094,1.01471,-4.00543,-1.48392,-0.18225,0.99817,0.01074,,0.73177,0.65253,0.11224,-0.16162,
7.46875,1.04141,-3.88718,-1.39618,-0.18530,0.99896,0.00958,,0.73174,0.65253,0.11209,-0.16187,
7.47656,1.33514,-4.11224,-1.26266,-0.18762,0.99854,0.00977,,0.73169,0.65254,0.11193,-0.16212,
7.48438,1.64795,-4.43649,-1.64032,-0.18054,0.99414,0.00842,,0.73164,0.65257,0.11176,-0.16241,
7.49219,1.77765,-4.34113,-1.77765,-0.17749,0.99402,0.00574,,0.73157,0.65259,0.11160,-0.16271,
7.50000,1.86920,-4.20761,-1.68228,-0.18213,0.99829,0.00446,,0.73150,0.65263,0.11145,-0.16299,
7.50781,1.76239,-4.04358,-1.79291,-0.18915,0.99957,0.00317,,0.73143,0.65266,0.11130,-0.16327,
7.51563,1.89590,-4.08554,-1.77765,-0.19275,0.99988,0.00208,,0.73136,0.65269,0.11116,-0.16356,
7.52344,2.19727,-4.57382,-1.83487,-0.19879,0.99915,0.00128,,0.73127,0.65274,0.11098,-0.16387,
7.53125,2.57874,-5.08881,-1.95694,-0.20093,1.00000,0.00140,,0.73118,0.65280,0.11079,-0.16421,
7.53906,2.93350,-6.01578,-1.92642,-0.19507,1.00275,0.00104,,0.73107,0.65286,0.11054,-0.16459,
7.54688,3.10516,-6.21414,-1.80435,-0.19604,1.00336,0.00104,,0.73096,0.65293,0.11028,-0.16498,
7.55469,3.28445,-6.59943,-1.91498,-0.19916,0.99835,0.00391,,0.73084,0.65301,0.10999,-0.16540,
7.56250,3.42178,-7.34329,-1.97220,-0.20099,0.99469,0.00458,,0.73072,0.65308,0.10968,-0.16585,
7.57031,3.63922,-7.77817,-2.06375,-0.20093,0.99567,0.00677,,0.73059,0.65316,0.10934,-0.16632,
7.57813,3.71170,-8.08716,-2.15149,-0.19952,0.99872,0.00488,,0.73046,0.65324,0.10899,-0.16682,
7.58594,3.69263,-8.18253,-2.45667,-0.19879,0.99963,0.00769,,0.73033,0.65331,0.10865,-0.16733,
7.59375,3.65067,-7.99561,-2.70081,-0.19757,0.99994,0.00763,,0.73019,0.65338,0.10833,-0.16785,
7.60156,3.81088,-8.43430,-2.78091,-0.19769,1.00299,0.00671,,0.73005,0.65346,0.10799,-0.16839,
7.60938,3.74985,-8.39996,-2.89917,-0.19720,1.00415,0.00641,,0.72992,0.65353,0.10766,-0.16893,
7.61719,3.61252,-8.37708,-2.90298,-0.19592,1.00531,0.00873,,0.72978,0.65359,0.10733,-0.16948,
7.62500,3.60489,-8.50677,-2.91443,-0.19910,1.00214,0.01166,,0.72965,0.65365,0.10699,-0.17003,
7.63281,3.57056,-8.50677,-2.97928,-0.20264,1.00104,0.01355,,0.72952,0.65371,0.10666,-0.17058,
7.64063,3.59726,-8.72040,-2.89154,-0.20294,1.00293,0.01196,,0.72939,0.65376,0.10631,-0.17114,
7.64844,3.72314,-8.88824,-3.07465,-0.19507,1.00262,0.01105,,0.72925,0.65382,0.10596,-0.17171,
7.65625,3.32260,-8.27026,-3.26920,-0.18719,1.00214,0.01410,,0.72912,0.65387,0.10566,-0.17227,
7.66406,3.26538,-7.85446,-3.15475,-0.18701,1.00092,0.01263,,0.72900,0.65392,0.10537,-0.17280,
7.67188,3.18527,-7.75909,-3.04794,-0.18726,0.99902,0.01312,,0.72887,0.65396,0.10508,-0.17331,
7.67969,3.07083,-7.75909,-3.08609,-0.18079,0.99854,0.01215,,0.72876,0.65400,0.10479,-0.17383,
7.68750,3.08609,-7.50732,-3.00598,-0.17798,0.99847,0.01147,,0.72864,0.65404,0.10452,-0.17434,
7.69531,2.73895,-6.84738,-2.85339,-0.17499,0.99786,0.01025,,0.72853,0.65408,0.10427,-0.17481,
7.70313,2.38800,-6.21414,-2.47955,-0.17560,0.99829,0.01019,,0.72844,0.65411,0.10404,-0.17522,
7.71094,2.01035,-5.32150,-2.24304,-0.18066,0.99603,0.00586,,0.72836,0.65413,0.10385,-0.17558,
7.71875,1.90735,-5.18799,-2.08664,-0.18268,0.99316,0.00513,,0.72828,0.65414,0.10367,-0.17593,
7.72656,2.04849,-5.44357,-1.81198,-0.18616,0.99207,0.00189,,0.72821,0.65417,0.10345,-0.17628,
7.73438,2.27356,-6.04630,-1.51062,-0.18689,0.99152,0.00299,,0.72813,0.65420,0.10319,-0.17664,
7.74219,2.38037,-6.45065,-1.29700,-0.18652,0.98987,0.00311,,0.72805,0.65423,0.10290,-0.17701,
7.75000,2.71225,-7.14111,-0.96512,-0.18176,0.99097,0.00098,,0.72797,0.65427,0.10255,-0.17739,
7.75781,2.76566,-6.83975,-0.78964,-0.17889,0.99640,0.00024,,0.72789,0.65432,0.10221,-0.17775,
7.76563,2.73514,-6.60706,-0.80872,-0.17804,0.99811,0.00122,,0.72780,0.65437,0.10189,-0.17811,
7.77344,2.88773,-6.54602,-0.62943,-0.17908,1.00201,0.00092,,0.72771,0.65443,0.10156,-0.17845,
7.78125,2.76184,-6.47354,-0.38528,-0.18146,1.00244,0.00330,,0.72762,0.65449,0.10122,-0.17877,
7.78906,2.95258,-6.62231,-0.27847,-0.18372,0.99957,0.00665,,0.72754,0.65455,0.10086,-0.17910,
7.79688,3.10135,-7.03049,0.04959,-0.18378,1.00012,0.01202,,0.72745,0.65462,0.10047,-0.17943,
7.80469,3.14713,-7.30896,0.47302,-0.19391,1.00574,0.01581,,0.72736,0.65469,0.10005,-0.17976,
7.81250,3.13950,-7.49207,0.69046,-0.19812,1.00653,0.01770,,0.72728,0.65476,0.09961,-0.18008,
7.82031,2.94113,-7.83920,0.61035,-0.19867,0.99994,0.02283,,0.72721,0.65482,0.09916,-0.18042,
7.82813,2.92206,-8.57544,0.30518,-0.19580,0.99884,0.02271,,0.72714,0.65486,0.09868,-0.18080,
7.83594,3.06320,-8.90350,0.16022,-0.19464,1.00183,0.02258,,0.72706,0.65490,0.09819,-0.18121,
7.84375,3.05176,-9.49478,-0.16403,-0.19238,1.00751,0.02191,,0.72699,0.65494,0.09769,-0.18167,
7.85156,2.68936,-8.99506,-0.97275,-0.18146,1.00446,0.01678,,0.72692,0.65495,0.09726,-0.18213,
7.85938,2.49863,-8.51822,-1.33514,-0.17810,1.00317,0.01819,,0.72684,0.65496,0.09686,-0.18259,
7.86719,2.05994,-7.88116,-1.53732,-0.17883,1.00092,0.01587,,0.72679,0.65496,0.09651,-0.18303,
7.87500,1.84631,-7.51495,-1.81198,-0.18158,1.00122,0.00848,,0.72673,0.65494,0.09620,-0.18347,
7.88281,1.80817,-7.23267,-1.83105,-0.18219,1.00116,0.00964,,0.72667,0.65493,0.09590,-0.18390,
7.89063,1.73187,-6.57272,-1.89972,-0.17798,1.00024,0.01086,,0.72661,0.65492,0.09563,-0.18429,
7.89844,1.53732,-6.25229,-1.81198,-0.18005,1.00159,0.00989,,0.72656,0.65491,0.09539,-0.18467,
7.90625,1.55640,-6.00052,-1.81961,-0.18048,1.00061,0.00934,,0.72651,0.65490,0.09515,-0.18504,
7.91406,1.49536,-5.88989,-1.94168,-0.17883,0.99878,0.01215,,0.72646,0.65489,0.09492,-0.18541,
7.92188,1.43433,-5.25284,-2.02179,-0.17609,0.99445,0.01123,,0.72640,0.65488,0.09474,-0.18575,
7.92969,1.27792,-4.99725,-1.99127,-0.18207,0.99042,0.01422,,0.72635,0.65487,0.09456,-0.18608,
7.93750,1.28937,-4.95148,-2.20871,-0.18048,0.98969,0.01410,,0.72630,0.65485,0.09440,-0.18642,
7.94531,1.27029,-4.87518,-2.55966,-0.17676,0.99115,0.01202,,0.72624,0.65484,0.09425,-0.18677,
7.95313,1.15204,-4.47083,-2.38037,-0.18024,0.99493,0.01416,,0.72618,0.65482,0.09412,-0.18709,
7.96094,1.14059,-4.39835,-2.42996,-0.18158,0.99811,0.01221,,0.72613,0.65481,0.09400,-0.18742,
7.96875,1.05286,-4.36401,-2.49481,-0.17981,1.00037,0.01379,,0.72608,0.65479,0.09388,-0.18774,
7.97656,1.02615,-4.14276,-2.88010,-0.17926,0.99927,0.01599,,0.72602,0.65477,0.09379,-0.18807,
7.98438,0.90790,-4.15421,-2.90298,-0.17859,1.00000,0.01758,,0.72597,0.65474,0.09370,-0.18841,
7.99219,0.90027,-4.52042,-2.62451,-0.18542,1.00470,0.01770,,0.72593,0.65471,0.09358,-0.18874,
8.00000,1.14059,-5.58472,-2.52533,-0.18469,1.00647,0.01837,,0.72588,0.65468,0.09340,-0.18912,
8.00781,1.19781,-5.78690,-2.46429,-0.18231,1.00604,0.01691,,0.72583,0.65465,0.09321,-0.18951,
8.01563,1.36948,-6.27136,-2.10571,-0.18103,1.00830,0.01410,,0.72578,0.65463,0.09297,-0.18990,
8.02344,1.33896,-6.33240,-2.04849,-0.17902,1.01117,0.01471,,0.72573,0.65460,0.09273,-0.19029,
8.03125,1.56403,-6.30951,-2.09045,-0.17615,1.01123,0.01611,,0.72568,0.65458,0.09249,-0.19069,
8.03906,1.50681,-6.00433,-2.10953,-0.17474,1.00256,0.02185,,0.72562,0.65456,0.09227,-0.19107,
8.04688,1.62506,-5.71442,-2.21634,-0.16956,1.00275,0.02380,,0.72555,0.65456,0.09206,-0.19144,
8.05469,1.65176,-5.39780,-2.22015,-0.16998,1.00299,0.02557,,0.72549,0.65455,0.09187,-0.19180,
8.06250,1.37711,-4.57764,-2.30789,-0.16925,1.00256,0.02631,,0.72542,0.65455,0.09173,-0.19213,
8.07031,1.14822,-3.70026,-2.43378,-0.17065,0.99896,0.02612,,0.72536,0.65454,0.09164,-0.19242,
8.07813,0.61417,-2.93732,-2.74277,-0.16962,0.99847,0.02435,,0.72532,0.65452,0.09161,-0.19269,
8.08594,0.28610,-2.57492,-2.77328,-0.17328,0.99860,0.02509,,0.72528,0.65448,0.09160,-0.19294,
8.09375,0.14877,-2.14386,-2.65884,-0.18469,0.99921,0.01941,,0.72526,0.65444,0.09161,-0.19317,
8.10156,0.30899,-2.44904,-2.60162,-0.18896,0.99890,0.01678,,0.72522,0.65441,0.09160,-0.19341,
8.10938,0.25558,-2.83432,-2.60544,-0.18896,0.99719,0.01666,,0.72519,0.65437,0.09157,-0.19367,
8.11719,0.60654,-3.38364,-2.33459,-0.18811,0.99786,0.01196,,0.72516,0.65434,0.09150,-0.19393,
