Gait Up - Physilog data export
Created on: 0000-00-00 01:11:40
Total data points: 1786

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
0.97656,0.95367,-5.23376,-1.75858,0.05634,1.02179,0.00311,,0.69945,0.71430,-0.02247,-0.00560,
0.98438,0.93460,-5.13840,-1.66321,0.05499,1.02179,0.00201,,0.69940,0.71435,-0.02264,-0.00593,
0.99219,0.89645,-5.15747,-1.59454,0.05444,1.02087,0.00232,,0.69935,0.71439,-0.02281,-0.00626,
1.00000,1.02234,-5.16129,-1.67084,0.05328,1.02246,0.00232,,0.69929,0.71444,-0.02297,-0.00658,
1.00781,1.04904,-5.19562,-1.67084,0.05524,1.02112,0.00330,,0.69923,0.71449,-0.02314,-0.00692,
1.01563,1.00327,-5.24139,-1.70898,0.05487,1.01996,0.00446,,0.69917,0.71454,-0.02330,-0.00725,
1.02344,0.96130,-5.27954,-1.75476,0.05725,1.02112,0.00470,,0.69911,0.71459,-0.02347,-0.00759,
1.03125,0.98419,-5.16510,-1.70898,0.05737,1.01929,0.00531,,0.69906,0.71463,-0.02363,-0.00792,
1.03906,1.09863,-5.20706,-1.73187,0.05701,1.02136,0.00470,,0.69899,0.71468,-0.02380,-0.00826,
1.04688,1.00708,-5.22995,-1.70517,0.05725,1.02118,0.00226,,0.69894,0.71473,-0.02397,-0.00859,
1.05469,0.92316,-5.14603,-1.72424,0.05750,1.02216,0.00305,,0.69888,0.71478,-0.02413,-0.00892,
1.06250,0.99182,-5.26047,-1.72043,0.05713,1.02063,0.00269,,0.69882,0.71482,-0.02429,-0.00926,
1.07031,0.97656,-5.28336,-1.70135,0.05737,1.02045,0.00354,,0.69877,0.71487,-0.02446,-0.00960,
1.07813,1.07956,-5.31387,-1.63651,0.05859,1.02148,0.00250,,0.69870,0.71492,-0.02464,-0.00993,
1.08594,1.01471,-5.21851,-1.77765,0.05914,1.02161,0.00244,,0.69864,0.71497,-0.02480,-0.01027,
1.09375,1.04523,-5.27191,-1.64032,0.05878,1.02106,0.00433,,0.69858,0.71502,-0.02497,-0.01060,
1.10156,0.99182,-5.19943,-1.67465,0.05859,1.02032,0.00305,,0.69852,0.71506,-0.02514,-0.01093,
1.10938,0.98801,-5.24902,-1.70517,0.05450,1.02179,0.00342,,0.69846,0.71511,-0.02531,-0.01127,
1.11719,1.09482,-5.15747,-1.68991,0.05267,1.02155,0.00348,,0.69840,0.71516,-0.02547,-0.01160,
1.12500,0.99182,-5.18799,-1.74713,0.05347,1.02075,0.00232,,0.69834,0.71521,-0.02563,-0.01193,
1.13281,1.05286,-5.29099,-1.69373,0.05524,1.02142,0.00275,,0.69828,0.71525,-0.02580,-0.01227,
1.14063,1.04523,-5.15747,-1.64795,0.05682,1.02216,0.00494,,0.69822,0.71530,-0.02597,-0.01260,
1.14844,1.07956,-5.11169,-1.66702,0.05792,1.02051,0.00488,,0.69816,0.71535,-0.02613,-0.01292,
1.15625,1.02997,-5.21851,-1.72806,0.05939,1.02185,0.00433,,0.69809,0.71540,-0.02630,-0.01326,
1.16406,1.11008,-5.35965,-1.71280,0.06128,1.02155,0.00519,,0.69803,0.71545,-0.02647,-0.01360,
1.17188,1.04523,-5.22614,-1.70898,0.05884,1.01996,0.00348,,0.69797,0.71550,-0.02664,-0.01393,
1.17969,1.05286,-5.24521,-1.64413,0.05957,1.02136,0.00378,,0.69790,0.71555,-0.02681,-0.01427,
1.18750,0.96893,-5.25284,-1.74713,0.05591,1.02100,0.00342,,0.69785,0.71559,-0.02697,-0.01460,
1.19531,1.01471,-5.23376,-1.69754,0.05481,1.02063,0.00366,,0.69779,0.71564,-0.02714,-0.01494,
1.20313,1.04904,-5.28336,-1.74713,0.05475,1.02124,0.00323,,0.69772,0.71568,-0.02731,-0.01528,
1.21094,1.00327,-5.24902,-1.71280,0.05573,1.02228,0.00214,,0.69766,0.71573,-0.02747,-0.01561,
1.21875,1.05286,-5.37491,-1.73950,0.05536,1.02094,0.00348,,0.69760,0.71578,-0.02765,-0.01596,
1.22656,0.99564,-5.24902,-1.71661,0.05585,1.02051,0.00256,,0.69754,0.71582,-0.02781,-0.01629,
1.23438,1.08337,-5.24902,-1.68228,0.05664,1.02094,0.00421,,0.69747,0.71587,-0.02798,-0.01663,
1.24219,1.07193,-5.22232,-1.68228,0.05627,1.02130,0.00476,,0.69741,0.71592,-0.02815,-0.01696,
1.25000,1.06812,-5.12695,-1.67847,0.05762,1.02191,0.00507,,0.69735,0.71597,-0.02831,-0.01729,
1.25781,1.05667,-5.19562,-1.68228,0.05658,1.02148,0.00293,,0.69728,0.71601,-0.02848,-0.01762,
1.26563,0.92697,-5.22614,-1.75476,0.05731,1.02136,0.00415,,0.69722,0.71606,-0.02864,-0.01796,
1.27344,1.09100,-5.21088,-1.58310,0.05743,1.02136,0.00293,,0.69716,0.71610,-0.02881,-0.01828,
1.28125,0.96893,-5.17654,-1.67465,0.05817,1.02057,0.00360,,0.69710,0.71615,-0.02898,-0.01861,
1.28906,1.01089,-5.27573,-1.69373,0.05817,1.02081,0.00385,,0.69704,0.71619,-0.02915,-0.01895,
1.29688,0.98038,-5.20325,-1.73187,0.05865,1.02185,0.00250,,0.69698,0.71624,-0.02931,-0.01928,
1.30469,1.03378,-5.14603,-1.78528,0.05847,1.02124,0.00269,,0.69691,0.71628,-0.02947,-0.01962,
1.31250,0.90027,-5.23376,-1.69373,0.05817,1.02057,0.00262,,0.69686,0.71632,-0.02964,-0.01995,
1.32031,1.01852,-5.31387,-1.67847,0.05347,1.02130,0.00183,,0.69679,0.71636,-0.02981,-0.02029,
1.32813,1.12152,-5.17654,-1.67084,0.05457,1.02112,0.00287,,0.69673,0.71641,-0.02998,-0.02062,
1.33594,0.98038,-5.15366,-1.75476,0.05426,1.02106,0.00378,,0.69667,0.71646,-0.03014,-0.02095,
1.34375,1.03760,-5.25284,-1.69373,0.05499,1.02002,0.00427,,0.69660,0.71650,-0.03031,-0.02129,
1.35156,0.98801,-5.24521,-1.70135,0.05579,1.02124,0.00391,,0.69654,0.71654,-0.03047,-0.02162,
1.35938,1.03760,-5.15747,-1.68610,0.05835,1.01996,0.00531,,0.69648,0.71659,-0.03064,-0.02195,
1.36719,1.08337,-5.19180,-1.78528,0.05939,1.02087,0.00555,,0.69641,0.71664,-0.03080,-0.02229,
1.37500,1.07574,-5.29480,-1.68991,0.05841,1.02008,0.00476,,0.69634,0.71668,-0.03097,-0.02262,
1.38281,1.02997,-5.12314,-1.67084,0.05841,1.02075,0.00439,,0.69628,0.71673,-0.03113,-0.02295,
1.39063,1.04904,-5.10025,-1.73950,0.05756,1.02020,0.00372,,0.69621,0.71677,-0.03129,-0.02328,
1.39844,1.08719,-5.27573,-1.67465,0.05768,1.02087,0.00366,,0.69615,0.71682,-0.03146,-0.02362,
1.40625,1.01852,-5.15747,-1.73187,0.05731,1.01984,0.00201,,0.69608,0.71686,-0.03162,-0.02395,
1.41406,1.04904,-5.22232,-1.71280,0.05548,1.02094,0.00299,,0.69602,0.71691,-0.03179,-0.02428,
1.42188,1.03760,-5.26810,-1.73187,0.05688,1.02142,0.00409,,0.69595,0.71695,-0.03196,-0.02462,
1.42969,1.03760,-5.22995,-1.67084,0.05719,1.02106,0.00360,,0.69589,0.71700,-0.03212,-0.02495,
1.43750,0.93842,-5.09262,-1.70135,0.05707,1.02100,0.00482,,0.69583,0.71704,-0.03228,-0.02528,
1.44531,1.01852,-5.04684,-1.65939,0.05615,1.02148,0.00494,,0.69576,0.71708,-0.03244,-0.02560,
1.45313,1.04141,-5.22995,-1.73950,0.05713,1.02045,0.00592,,0.69570,0.71712,-0.03261,-0.02594,
1.46094,1.06430,-5.31769,-1.77383,0.05695,1.02155,0.00354,,0.69563,0.71717,-0.03278,-0.02628,
1.46875,1.04904,-5.13077,-1.71280,0.05603,1.02087,0.00378,,0.69557,0.71721,-0.03294,-0.02661,
1.47656,1.11771,-5.19943,-1.67084,0.05634,1.02063,0.00507,,0.69550,0.71726,-0.03310,-0.02694,
1.48438,1.14059,-5.27573,-1.59836,0.05743,1.02057,0.00397,,0.69543,0.71731,-0.03328,-0.02727,
1.49219,0.95367,-5.27573,-1.62125,0.05762,1.02155,0.00458,,0.69536,0.71735,-0.03345,-0.02761,
1.50000,1.02615,-5.31006,-1.71280,0.05865,1.02142,0.00464,,0.69530,0.71739,-0.03362,-0.02794,
1.50781,1.01471,-5.09262,-1.70135,0.05902,1.02057,0.00409,,0.69523,0.71743,-0.03378,-0.02827,
1.51563,1.03378,-5.18036,-1.70517,0.05792,1.01947,0.00336,,0.69517,0.71748,-0.03395,-0.02860,
1.52344,1.08337,-5.21088,-1.70517,0.05713,1.02148,0.00305,,0.69510,0.71752,-0.03411,-0.02894,
1.53125,1.09482,-5.22995,-1.62125,0.05579,1.02032,0.00372,,0.69503,0.71757,-0.03428,-0.02927,
1.53906,1.09100,-5.14984,-1.61362,0.05414,1.02039,0.00458,,0.69496,0.71761,-0.03445,-0.02959,
1.54688,1.12534,-5.18417,-1.65558,0.05396,1.02148,0.00446,,0.69489,0.71766,-0.03462,-0.02992,
1.55469,1.10626,-5.18799,-1.72043,0.05402,1.02148,0.00494,,0.69482,0.71770,-0.03478,-0.03026,
1.56250,0.93460,-5.15747,-1.69754,0.05585,1.02094,0.00299,,0.69476,0.71774,-0.03494,-0.03059,
1.57031,0.98419,-5.19562,-1.66321,0.05713,1.02087,0.00580,,0.69470,0.71778,-0.03511,-0.03092,
1.57813,1.00708,-5.21469,-1.69754,0.05737,1.02087,0.00586,,0.69463,0.71782,-0.03528,-0.03125,
1.58594,1.06812,-5.10788,-1.72043,0.05872,1.02100,0.00446,,0.69456,0.71787,-0.03544,-0.03158,
1.59375,0.95749,-5.18417,-1.80435,0.05780,1.02148,0.00525,,0.69450,0.71790,-0.03560,-0.03192,
1.60156,1.05286,-5.24139,-1.78909,0.05725,1.02112,0.00397,,0.69443,0.71795,-0.03576,-0.03225,
1.60938,0.98801,-5.15747,-1.67465,0.05640,1.02173,0.00275,,0.69437,0.71799,-0.03592,-0.03258,
1.61719,1.03760,-5.18417,-1.83105,0.05725,1.02136,0.00232,,0.69430,0.71803,-0.03608,-0.03292,
1.62500,1.11389,-5.23376,-1.71661,0.05811,1.02173,0.00201,,0.69423,0.71807,-0.03625,-0.03326,
1.63281,1.06430,-5.28336,-1.64032,0.05725,1.01959,0.00366,,0.69416,0.71812,-0.03642,-0.03359,
