Gait Up - Physilog data export
Created on: 0000-00-00 02:22:05
Total data points: 4912

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
0.24219,1.94168,-3.09372,-1.15204,0.17651,1.00452,-0.03638,,0.67712,0.72632,-0.00430,0.11807,
0.25000,1.81198,-3.55148,-1.15967,0.17261,1.00580,-0.03711,,0.67704,0.72643,-0.00439,0.11784,
0.25781,1.86920,-3.77655,-1.25122,0.17560,1.00580,-0.04187,,0.67696,0.72655,-0.00449,0.11759,
0.26563,2.04468,-4.06647,-1.19781,0.17755,1.00317,-0.03998,,0.67687,0.72668,-0.00460,0.11734,
0.27344,2.02560,-4.16565,-1.39236,0.17932,1.00262,-0.04071,,0.67678,0.72681,-0.00471,0.11707,
0.28125,2.04468,-4.00162,-1.51443,0.18201,1.00323,-0.03760,,0.67669,0.72693,-0.00480,0.11680,
0.28906,1.95694,-4.18854,-1.68610,0.18127,1.00336,-0.03485,,0.67660,0.72706,-0.00489,0.11651,
0.29688,1.82343,-4.14276,-1.76620,0.18219,1.00446,-0.03461,,0.67652,0.72717,-0.00498,0.11623,
0.30469,1.84250,-4.26865,-2.04086,0.18585,1.00690,-0.03735,,0.67645,0.72729,-0.00507,0.11592,
0.31250,1.83868,-4.60052,-2.14005,0.18591,1.00641,-0.03729,,0.67637,0.72742,-0.00516,0.11560,
0.32031,1.91879,-4.71878,-2.21252,0.18567,1.00433,-0.03741,,0.67629,0.72754,-0.00525,0.11526,
0.32813,1.89209,-4.60815,-2.44522,0.18927,1.00525,-0.03235,,0.67621,0.72767,-0.00533,0.11492,
0.33594,1.77002,-4.78745,-2.45285,0.18658,1.00629,-0.03571,,0.67614,0.72779,-0.00541,0.11457,
0.34375,1.67465,-4.73785,-2.51770,0.18799,1.00592,-0.03772,,0.67608,0.72790,-0.00549,0.11422,
0.35156,1.65939,-4.62341,-2.67792,0.18817,1.00592,-0.03503,,0.67602,0.72802,-0.00556,0.11387,
0.35938,1.58310,-4.66919,-2.59018,0.18591,1.00604,-0.03522,,0.67596,0.72813,-0.00563,0.11352,
0.36719,1.36566,-4.71878,-2.51770,0.18823,1.00476,-0.03650,,0.67591,0.72823,-0.00571,0.11317,
0.37500,1.35803,-4.79126,-2.41089,0.19067,1.00409,-0.03674,,0.67585,0.72833,-0.00581,0.11282,
0.38281,1.56784,-5.09644,-2.32315,0.18951,1.00208,-0.04041,,0.67579,0.72844,-0.00591,0.11246,
0.39063,1.72424,-4.88663,-2.51007,0.19037,1.00165,-0.03973,,0.67572,0.72856,-0.00600,0.11210,
0.39844,1.67847,-4.88663,-2.59018,0.19006,1.00116,-0.03760,,0.67566,0.72867,-0.00608,0.11174,
0.40625,1.55640,-4.96674,-2.51770,0.19104,1.00183,-0.03540,,0.67560,0.72878,-0.00618,0.11138,
0.41406,1.47629,-5.32913,-2.71988,0.19482,1.00653,-0.04303,,0.67554,0.72889,-0.00627,0.11099,
0.42188,1.54114,-5.26047,-2.64359,0.19153,1.00543,-0.04462,,0.67548,0.72900,-0.00637,0.11061,
0.42969,1.56021,-5.47791,-2.89536,0.18982,1.00354,-0.04376,,0.67543,0.72912,-0.00647,0.11020,
0.43750,1.63269,-5.60379,-2.94113,0.19275,1.00568,-0.03796,,0.67536,0.72924,-0.00657,0.10979,
0.44531,1.49918,-5.70679,-2.94495,0.19702,1.00720,-0.03613,,0.67531,0.72935,-0.00668,0.10937,
0.45313,1.26266,-5.93185,-2.46811,0.19659,1.00323,-0.03516,,0.67526,0.72945,-0.00682,0.10896,
0.46094,0.94223,-6.05392,-1.95694,0.19788,1.00372,-0.03149,,0.67523,0.72954,-0.00699,0.10857,
0.46875,0.72861,-5.85938,-1.65939,0.19775,1.00543,-0.03461,,0.67520,0.72962,-0.00717,0.10820,
0.47656,1.22452,-5.91278,-1.78528,0.20123,1.00775,-0.04822,,0.67515,0.72972,-0.00735,0.10783,
0.48438,1.49918,-5.47791,-2.28500,0.19659,1.00311,-0.04572,,0.67509,0.72983,-0.00747,0.10745,
0.49219,1.67847,-5.02396,-2.38800,0.19562,1.00134,-0.04376,,0.67502,0.72995,-0.00757,0.10709,
0.50000,1.74332,-4.71497,-2.72369,0.19946,1.00269,-0.03925,,0.67495,0.73006,-0.00764,0.10673,
0.50781,1.78528,-4.73785,-2.61688,0.19275,1.00372,-0.03711,,0.67488,0.73018,-0.00772,0.10638,
0.51563,1.59454,-4.93240,-2.38800,0.19257,1.00299,-0.03400,,0.67481,0.73029,-0.00781,0.10602,
0.52344,1.32370,-4.98581,-2.25067,0.19653,1.00342,-0.03436,,0.67476,0.73039,-0.00792,0.10567,
0.53125,1.08719,-5.36728,-1.56021,0.19537,1.00696,-0.03522,,0.67472,0.73048,-0.00808,0.10533,
0.53906,1.03378,-5.81741,-1.33514,0.19702,1.01074,-0.04022,,0.67467,0.73057,-0.00828,0.10498,
0.54688,1.13678,-6.30951,-1.46866,0.19659,1.00873,-0.04260,,0.67462,0.73067,-0.00849,0.10460,
0.55469,0.92697,-6.28281,-1.27792,0.19482,1.00470,-0.04028,,0.67458,0.73075,-0.00870,0.10423,
0.56250,0.88882,-6.66046,-1.36566,0.19989,1.00800,-0.04266,,0.67454,0.73084,-0.00894,0.10384,
0.57031,0.98038,-6.47354,-1.35040,0.20032,1.00708,-0.04309,,0.67450,0.73094,-0.00916,0.10345,
0.57813,1.23978,-6.34766,-1.65939,0.19531,1.00623,-0.04333,,0.67444,0.73104,-0.00936,0.10306,
0.58594,1.29318,-5.99289,-1.78528,0.19733,1.00494,-0.04254,,0.67439,0.73114,-0.00954,0.10268,
0.59375,1.25885,-5.61523,-1.72806,0.20105,1.00439,-0.04120,,0.67433,0.73124,-0.00970,0.10232,
0.60156,1.18256,-5.60379,-1.27029,0.19519,1.00684,-0.03680,,0.67428,0.73133,-0.00989,0.10198,
0.60938,1.03378,-6.11115,-1.28174,0.19098,1.00775,-0.04114,,0.67423,0.73142,-0.01010,0.10162,
0.61719,1.08719,-6.44684,-1.39236,0.19366,1.00525,-0.04163,,0.67418,0.73152,-0.01032,0.10124,
0.62500,1.07193,-6.27899,-1.54495,0.19818,1.00446,-0.04535,,0.67414,0.73161,-0.01052,0.10085,
0.63281,1.05286,-6.12640,-1.56784,0.19873,1.00720,-0.04602,,0.67409,0.73170,-0.01072,0.10048,
0.64063,0.98419,-5.97763,-1.56021,0.19897,1.00909,-0.04486,,0.67405,0.73179,-0.01091,0.10011,
0.64844,1.04523,-5.80978,-1.43051,0.19678,1.01318,-0.04565,,0.67400,0.73188,-0.01110,0.09975,
0.65625,0.95367,-5.80597,-1.11771,0.19495,1.01184,-0.04382,,0.67396,0.73196,-0.01130,0.09941,
0.66406,1.04904,-5.97763,-1.02234,0.19550,1.01263,-0.04187,,0.67391,0.73205,-0.01152,0.09907,
0.67188,0.86975,-6.14166,-0.87357,0.19501,1.01428,-0.04266,,0.67386,0.73214,-0.01175,0.09872,
0.67969,0.82016,-6.39725,-1.02234,0.19586,1.00928,-0.04260,,0.67382,0.73222,-0.01199,0.09836,
0.68750,0.92316,-6.55365,-0.93079,0.19672,1.00726,-0.04407,,0.67378,0.73230,-0.01224,0.09799,
0.69531,1.04141,-6.68716,-1.22452,0.19690,1.00629,-0.04071,,0.67373,0.73240,-0.01247,0.09760,
0.70313,1.13297,-6.79779,-1.58310,0.20081,1.00226,-0.03998,,0.67368,0.73250,-0.01270,0.09719,
0.71094,1.14822,-6.55746,-1.49155,0.20319,1.00031,-0.04089,,0.67362,0.73259,-0.01292,0.09679,
0.71875,1.16730,-6.16455,-1.30844,0.20209,0.99915,-0.03772,,0.67357,0.73269,-0.01313,0.09642,
0.72656,0.98038,-6.16455,-1.14059,0.20142,1.00098,-0.03876,,0.67352,0.73278,-0.01335,0.09607,
0.73438,0.92697,-5.92422,-0.92697,0.20044,1.00061,-0.04114,,0.67348,0.73286,-0.01357,0.09573,
0.74219,0.93079,-5.90897,-0.94986,0.19824,0.99969,-0.04370,,0.67343,0.73294,-0.01379,0.09539,
0.75000,1.10245,-5.59998,-0.94986,0.19598,1.00269,-0.04156,,0.67338,0.73303,-0.01399,0.09507,
0.75781,1.15204,-6.12259,-1.13678,0.19513,1.00519,-0.04565,,0.67332,0.73312,-0.01421,0.09471,
0.76563,1.12915,-6.22940,-1.20544,0.19598,1.00641,-0.04675,,0.67327,0.73321,-0.01442,0.09434,
0.77344,1.07193,-6.04630,-1.09863,0.19971,1.00568,-0.04852,,0.67321,0.73330,-0.01464,0.09399,
0.78125,1.15204,-5.52750,-1.09100,0.19678,1.00549,-0.04321,,0.67316,0.73339,-0.01483,0.09367,
0.78906,1.16348,-5.27191,-0.93460,0.19537,1.00623,-0.04248,,0.67310,0.73348,-0.01502,0.09336,
0.79688,1.17493,-5.32532,-0.76294,0.19659,1.00867,-0.04218,,0.67304,0.73357,-0.01522,0.09306,
0.80469,1.13678,-5.22232,-0.85449,0.19788,1.00720,-0.04419,,0.67298,0.73366,-0.01541,0.09276,
0.81250,1.05667,-5.16129,-1.00327,0.19427,1.00775,-0.04370,,0.67293,0.73374,-0.01559,0.09246,
0.82031,1.31226,-5.36728,-1.17493,0.19672,1.00897,-0.04022,,0.67287,0.73383,-0.01577,0.09214,
0.82813,1.09863,-5.51987,-1.16730,0.19641,1.00537,-0.03876,,0.67281,0.73392,-0.01595,0.09181,
0.83594,1.03378,-5.63812,-1.15585,0.19867,1.00403,-0.04144,,0.67276,0.73400,-0.01615,0.09148,
0.84375,1.14822,-5.64575,-0.90027,0.20129,1.00195,-0.04285,,0.67270,0.73409,-0.01636,0.09115,
0.85156,0.91553,-5.29480,-0.57983,0.19568,1.00159,-0.04358,,0.67266,0.73417,-0.01656,0.09086,
0.85938,0.88120,-5.14984,-0.57602,0.19446,1.00079,-0.04572,,0.67261,0.73424,-0.01677,0.09058,
0.86719,0.85068,-4.74548,-0.91553,0.19830,1.00043,-0.04578,,0.67257,0.73431,-0.01693,0.09030,
0.87500,0.77820,-4.33350,-1.00327,0.19464,1.00281,-0.04584,,0.67253,0.73437,-0.01708,0.09004,
0.88281,0.67902,-4.39453,-1.09863,0.19324,1.00385,-0.04639,,0.67250,0.73443,-0.01722,0.08977,
0.89063,0.92697,-4.60815,-1.26648,0.19397,1.00671,-0.04572,,0.67245,0.73451,-0.01736,0.08948,
0.89844,0.96130,-4.44031,-1.49536,0.19489,1.00897,-0.04712,,0.67241,0.73458,-0.01748,0.08919,
