Gait Up - Physilog data export
Created on: 0000-00-00 03:15:48
Total data points: 913

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
30.42969,1.52969,-6.05011,-2.42615,0.08264,1.01740,0.01062,,0.11794,0.51528,0.24954,-0.81136,
30.43750,1.35040,-5.32532,-2.54440,0.07794,1.01746,0.00946,,0.11786,0.51496,0.24949,-0.81159,
30.44531,1.12152,-5.13077,-2.53296,0.07568,1.01508,0.00952,,0.11778,0.51465,0.24945,-0.81181,
30.45313,1.01089,-4.94766,-2.67029,0.07220,1.01538,0.00897,,0.11770,0.51435,0.24942,-0.81202,
30.46094,0.82779,-5.00107,-1.87683,0.06842,1.01587,0.01086,,0.11767,0.51405,0.24938,-0.81223,
30.46875,0.89264,-4.67682,-1.60217,0.06934,1.01801,0.00684,,0.11764,0.51378,0.24933,-0.81242,
30.47656,1.01471,-5.20325,-1.49918,0.06555,1.02185,0.00702,,0.11763,0.51348,0.24926,-0.81263,
30.48438,1.41907,-5.82886,-1.57547,0.06439,1.02643,0.01141,,0.11761,0.51315,0.24916,-0.81287,
30.49219,1.26266,-6.28662,-1.42288,0.06604,1.02692,0.01044,,0.11761,0.51280,0.24907,-0.81312,
30.50000,1.41907,-6.55746,-1.38855,0.07245,1.02838,0.01019,,0.11761,0.51243,0.24896,-0.81339,
30.50781,1.25504,-6.27899,-1.59454,0.07697,1.02673,0.01166,,0.11761,0.51207,0.24887,-0.81364,
30.51563,1.43814,-6.01578,-1.55258,0.07562,1.02362,0.01489,,0.11759,0.51173,0.24877,-0.81389,
30.52344,1.46484,-5.38254,-1.78909,0.07721,1.01947,0.02448,,0.11755,0.51142,0.24869,-0.81412,
30.53125,1.57166,-5.89752,-1.50299,0.07080,1.02026,0.02380,,0.11753,0.51109,0.24858,-0.81436,
30.53906,1.63269,-5.61142,-1.38474,0.07684,1.01880,0.02521,,0.11751,0.51077,0.24847,-0.81460,
30.54688,1.94168,-6.10352,-1.24359,0.07458,1.01563,0.01917,,0.11749,0.51043,0.24833,-0.81485,
30.55469,2.33841,-6.35529,-1.39999,0.06903,1.01263,0.02106,,0.11745,0.51008,0.24818,-0.81512,
30.56250,2.28119,-6.45065,-1.44196,0.06696,1.01233,0.01965,,0.11742,0.50973,0.24803,-0.81540,
30.57031,2.31171,-6.34766,-1.21689,0.06427,1.01190,0.01831,,0.11740,0.50938,0.24787,-0.81567,
30.57813,2.10190,-6.75583,-0.91553,0.06213,1.01062,0.01477,,0.11741,0.50901,0.24770,-0.81595,
30.58594,2.09045,-6.93130,-0.55695,0.06781,1.01379,0.01379,,0.11744,0.50864,0.24753,-0.81623,
30.59375,1.92261,-6.88553,-0.31281,0.07001,1.01251,0.01160,,0.11749,0.50827,0.24735,-0.81650,
30.60156,1.85013,-6.54602,-0.09155,0.06982,1.01337,0.01501,,0.11754,0.50793,0.24717,-0.81676,
30.60938,2.51389,-6.22177,0.08392,0.06915,1.01685,0.01392,,0.11758,0.50761,0.24696,-0.81702,
30.61719,2.62451,-5.98145,0.08011,0.06873,1.01996,0.01379,,0.11761,0.50731,0.24674,-0.81727,
30.62500,2.62833,-5.36728,-0.18311,0.06848,1.02362,0.01678,,0.11762,0.50704,0.24653,-0.81750,
30.63281,2.67792,-5.47028,-0.34714,0.06653,1.02209,0.02020,,0.11762,0.50675,0.24632,-0.81774,
30.64063,2.94495,-6.07681,-0.27084,0.06812,1.02289,0.01819,,0.11762,0.50644,0.24610,-0.81800,
30.64844,2.83051,-6.68716,-0.24796,0.06714,1.02472,0.01630,,0.11764,0.50609,0.24587,-0.81828,
30.65625,2.92969,-7.01904,-0.38528,0.06659,1.02466,0.01373,,0.11765,0.50573,0.24564,-0.81857,
30.66406,2.90298,-6.83212,-0.65231,0.06519,1.02094,0.01459,,0.11765,0.50536,0.24542,-0.81886,
30.67188,3.30734,-6.01959,-0.79727,0.06854,1.01221,0.01324,,0.11760,0.50505,0.24519,-0.81913,
30.67969,3.35693,-5.45502,-1.09482,0.06897,1.01483,0.01270,,0.11754,0.50476,0.24497,-0.81938,
30.68750,3.38745,-5.26810,-1.17874,0.06763,1.01801,0.01526,,0.11746,0.50448,0.24476,-0.81963,
30.69531,3.12424,-5.18417,-1.08719,0.05737,1.02332,0.01605,,0.11739,0.50420,0.24456,-0.81987,
30.70313,3.10516,-6.30951,-0.87738,0.05316,1.02716,0.01312,,0.11736,0.50387,0.24434,-0.82015,
30.71094,2.99072,-6.58417,-0.88120,0.05505,1.02661,0.01532,,0.11734,0.50352,0.24412,-0.82043,
30.71875,2.97546,-6.73294,-0.93460,0.06274,1.02362,0.01379,,0.11731,0.50316,0.24391,-0.82072,
30.72656,3.19290,-6.84738,-1.04141,0.06207,1.02362,0.01294,,0.11727,0.50279,0.24369,-0.82101,
30.73438,2.85721,-6.31714,-1.31226,0.06744,1.02411,0.01648,,0.11722,0.50244,0.24350,-0.82129,
30.74219,2.58636,-6.07300,-1.38855,0.06854,1.02356,0.01868,,0.11718,0.50211,0.24333,-0.82155,
30.75000,2.53296,-5.87845,-1.51062,0.06915,1.02008,0.02106,,0.11712,0.50178,0.24317,-0.82181,
30.75781,2.31552,-5.88608,-1.46484,0.07318,1.02441,0.02100,,0.11707,0.50145,0.24302,-0.82206,
30.76563,2.21634,-5.85938,-1.54114,0.07440,1.02301,0.01941,,0.11702,0.50112,0.24287,-0.82231,
30.77344,1.94550,-5.59616,-1.93787,0.07410,1.02124,0.02185,,0.11696,0.50080,0.24276,-0.82255,
30.78125,1.65939,-5.26428,-1.63651,0.07330,1.02203,0.01971,,0.11691,0.50050,0.24266,-0.82277,
30.78906,1.58691,-5.71060,-1.60980,0.06885,1.02234,0.01605,,0.11688,0.50017,0.24255,-0.82300,
30.79688,1.17111,-5.66864,-1.50299,0.06769,1.02002,0.02026,,0.11687,0.49984,0.24247,-0.82323,
30.80469,1.76620,-6.20270,-1.36948,0.06787,1.01624,0.01550,,0.11685,0.49949,0.24234,-0.82348,
30.81250,1.72806,-6.16837,-1.51062,0.07050,1.01587,0.01617,,0.11683,0.49914,0.24223,-0.82373,
30.82031,1.60217,-6.82068,-1.75476,0.07245,1.01892,0.00653,,0.11680,0.49875,0.24212,-0.82400,
30.82813,1.60217,-6.19888,-1.87683,0.07196,1.01593,0.00928,,0.11676,0.49839,0.24202,-0.82426,
30.83594,1.66321,-6.02341,-1.78146,0.06970,1.01758,0.01025,,0.11672,0.49805,0.24191,-0.82450,
30.84375,1.51062,-5.53131,-1.91116,0.06976,1.02039,0.01160,,0.11667,0.49772,0.24182,-0.82473,
30.85156,1.33514,-5.32150,-1.90735,0.06873,1.02167,0.01343,,0.11662,0.49741,0.24175,-0.82495,
30.85938,1.21689,-5.15366,-1.91116,0.07019,1.02094,0.01398,,0.11658,0.49710,0.24168,-0.82516,
30.86719,1.01089,-5.15366,-1.67084,0.07147,1.02106,0.01349,,0.11655,0.49680,0.24161,-0.82537,
30.87500,0.99182,-5.33676,-1.71280,0.07422,1.01868,0.01508,,0.11652,0.49649,0.24155,-0.82558,
30.88281,1.18637,-5.87082,-1.72806,0.07355,1.01831,0.01221,,0.11650,0.49615,0.24147,-0.82581,
30.89063,1.28555,-5.78308,-1.86539,0.07471,1.01874,0.01038,,0.11646,0.49581,0.24139,-0.82604,
30.89844,1.51443,-5.44739,-1.61362,0.07373,1.01642,0.01172,,0.11643,0.49549,0.24129,-0.82626,
30.90625,1.25122,-5.66101,-1.79672,0.07440,1.02002,0.01324,,0.11639,0.49516,0.24121,-0.82649,
30.91406,1.25504,-5.62286,-1.77383,0.07275,1.01953,0.00946,,0.11636,0.49483,0.24113,-0.82671,
30.92188,1.25504,-5.17273,-1.82343,0.07312,1.01483,0.01190,,0.11632,0.49453,0.24106,-0.82692,
30.92969,1.07193,-4.50516,-1.45721,0.07361,1.01349,0.01465,,0.11629,0.49427,0.24099,-0.82711,
30.93750,0.96512,-4.13513,-1.32370,0.07489,1.01501,0.01385,,0.11627,0.49403,0.24092,-0.82727,
30.94531,0.79346,-3.83759,-1.19781,0.07025,1.01855,0.01270,,0.11625,0.49380,0.24086,-0.82742,
30.95313,0.62561,-3.36075,-1.27792,0.06830,1.01953,0.01172,,0.11623,0.49360,0.24082,-0.82756,
30.96094,0.64087,-3.33405,-1.20926,0.06555,1.01727,0.01489,,0.11621,0.49341,0.24077,-0.82769,
30.96875,1.04904,-4.78745,-1.40762,0.06232,1.01581,0.00745,,0.11619,0.49313,0.24070,-0.82788,
30.97656,1.46103,-5.27191,-1.76620,0.06604,1.01904,0.00568,,0.11615,0.49282,0.24061,-0.82810,
30.98438,1.63269,-5.30624,-1.76620,0.06702,1.01770,0.01019,,0.11610,0.49251,0.24051,-0.82832,
30.99219,1.89209,-5.99670,-1.91879,0.06848,1.02100,0.00757,,0.11604,0.49217,0.24039,-0.82856,
31.00000,1.54114,-5.33676,-1.81961,0.06482,1.02142,0.00623,,0.11599,0.49185,0.24030,-0.82878,
31.00781,1.36185,-5.02777,-1.70135,0.06226,1.02264,0.00598,,0.11595,0.49156,0.24022,-0.82899,
31.01563,1.50681,-4.89807,-1.83487,0.06494,1.01837,0.00879,,0.11589,0.49127,0.24013,-0.82919,
31.02344,1.31989,-4.92477,-1.73187,0.06866,1.01691,0.01196,,0.11584,0.49098,0.24005,-0.82939,
31.03125,1.13297,-4.87518,-1.61743,0.07141,1.01819,0.01270,,0.11581,0.49070,0.23998,-0.82959,
31.03906,1.28937,-5.42068,-1.73187,0.07178,1.01898,0.01099,,0.11578,0.49038,0.23989,-0.82980,
31.04688,1.59454,-5.48172,-2.02942,0.07349,1.01691,0.01605,,0.11571,0.49006,0.23980,-0.83003,
31.05469,1.49918,-5.70297,-1.88828,0.07343,1.01984,0.01190,,0.11567,0.48972,0.23971,-0.83026,
31.06250,1.28555,-5.84412,-2.04468,0.07349,1.02295,0.00800,,0.11562,0.48937,0.23964,-0.83049,
31.07031,1.24741,-5.65338,-2.28882,0.07422,1.01990,0.00323,,0.11556,0.48903,0.23957,-0.83072,
31.07813,1.35803,-5.42068,-2.28882,0.07068,1.02094,0.00372,,0.11549,0.48871,0.23951,-0.83094,
31.08594,1.35422,-4.59671,-2.28119,0.07019,1.02393,0.00653,,0.11540,0.48843,0.23945,-0.83114,
31.09375,1.47629,-4.56619,-2.42996,0.06793,1.02148,0.00781,,0.11531,0.48815,0.23938,-0.83133,
31.10156,1.15967,-4.67300,-2.54440,0.06500,1.02167,0.00464,,0.11522,0.48786,0.23934,-0.83153,
