Gait Up - Physilog data export
Created on: 0000-00-04 07:10:55
Total data points: 791

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
43.65625,0.85068,-4.90952,-1.80435,-0.01636,-0.05725,1.00879,,-0.36289,0.08390,-0.45927,-0.80644,
43.66406,0.82016,-5.05447,-1.58691,-0.02411,-0.05676,1.01184,,-0.36315,0.08364,-0.45915,-0.80642,
43.67188,0.86212,-5.31387,-1.44196,-0.02679,-0.05670,1.01056,,-0.36341,0.08337,-0.45902,-0.80640,
43.67969,0.79727,-5.46646,-1.52588,-0.02008,-0.05200,1.00928,,-0.36368,0.08310,-0.45889,-0.80639,
43.68750,0.89264,-5.42831,-1.58691,-0.01752,-0.05426,1.00769,,-0.36395,0.08282,-0.45876,-0.80636,
43.69531,0.82779,-5.21851,-1.59836,-0.01135,-0.05609,1.00482,,-0.36421,0.08256,-0.45863,-0.80634,
43.70313,0.83923,-4.92477,-1.60980,-0.00861,-0.06042,1.00549,,-0.36446,0.08231,-0.45851,-0.80632,
43.71094,0.90408,-4.63104,-1.58310,-0.01721,-0.06165,1.00977,,-0.36471,0.08208,-0.45841,-0.80630,
43.71875,0.84305,-4.50516,-1.61362,-0.01984,-0.06305,1.00763,,-0.36495,0.08186,-0.45830,-0.80627,
43.72656,0.81253,-4.63486,-1.62506,-0.01801,-0.06458,1.00806,,-0.36520,0.08163,-0.45819,-0.80625,
43.73438,0.89264,-4.90952,-1.49918,-0.01898,-0.06006,1.00989,,-0.36545,0.08138,-0.45807,-0.80622,
43.74219,0.86975,-5.09644,-1.77765,-0.02155,-0.05402,1.00812,,-0.36572,0.08113,-0.45795,-0.80620,
43.75000,0.98419,-5.07736,-1.70517,-0.02136,-0.05298,1.00958,,-0.36598,0.08088,-0.45783,-0.80617,
43.75781,0.84305,-5.16510,-1.56784,-0.02594,-0.05316,1.00671,,-0.36624,0.08062,-0.45771,-0.80614,
43.76563,0.98038,-5.03540,-1.62888,-0.03015,-0.05310,1.00702,,-0.36650,0.08037,-0.45760,-0.80612,
43.77344,0.83160,-4.96674,-1.73187,-0.02557,-0.05316,1.00824,,-0.36677,0.08012,-0.45748,-0.80609,
43.78125,0.86212,-4.99725,-1.89590,-0.01587,-0.05377,1.00757,,-0.36704,0.07988,-0.45735,-0.80606,
43.78906,0.75150,-4.77600,-1.92642,-0.01611,-0.06262,1.00836,,-0.36731,0.07966,-0.45723,-0.80603,
43.79688,0.72098,-4.79889,-1.91116,-0.01770,-0.06598,1.00714,,-0.36757,0.07943,-0.45711,-0.80600,
43.80469,0.69809,-4.54330,-1.94550,-0.01233,-0.06256,1.00745,,-0.36783,0.07922,-0.45699,-0.80597,
43.81250,0.82016,-4.75311,-1.87683,-0.01050,-0.05981,1.00903,,-0.36810,0.07899,-0.45687,-0.80594,
43.82031,0.76294,-4.98581,-1.90735,-0.01270,-0.05817,1.01184,,-0.36837,0.07875,-0.45674,-0.80591,
43.82813,0.90408,-5.18036,-1.67084,-0.02142,-0.05566,1.00922,,-0.36863,0.07850,-0.45662,-0.80588,
43.83594,0.98038,-5.29861,-1.55258,-0.01971,-0.05542,1.00763,,-0.36890,0.07822,-0.45650,-0.80585,
43.84375,0.97275,-5.08881,-1.64032,-0.02179,-0.05713,1.00793,,-0.36916,0.07797,-0.45638,-0.80583,
43.85156,0.86212,-5.30243,-1.64413,-0.02307,-0.05676,1.00928,,-0.36943,0.07770,-0.45626,-0.80580,
43.85938,0.83542,-5.31006,-1.66702,-0.02026,-0.05908,1.00745,,-0.36970,0.07744,-0.45613,-0.80578,
43.86719,0.83160,-5.26428,-1.72424,-0.02014,-0.06189,1.00635,,-0.36997,0.07718,-0.45600,-0.80575,
43.87500,0.76294,-5.17273,-1.65939,-0.01813,-0.06091,1.00800,,-0.37023,0.07692,-0.45587,-0.80573,
43.88281,0.78201,-4.95911,-1.75476,-0.01776,-0.05469,1.00830,,-0.37049,0.07668,-0.45574,-0.80570,
43.89063,0.74768,-4.98199,-1.66702,-0.01715,-0.05438,1.01288,,-0.37075,0.07644,-0.45562,-0.80568,
43.89844,0.77820,-5.06973,-1.73187,-0.01886,-0.05701,1.00818,,-0.37102,0.07619,-0.45549,-0.80565,
43.90625,0.88120,-5.11932,-1.88828,-0.01538,-0.05200,1.01025,,-0.37129,0.07594,-0.45536,-0.80562,
43.91406,0.90408,-5.21851,-1.71280,-0.01794,-0.05524,1.01001,,-0.37156,0.07568,-0.45524,-0.80559,
43.92188,0.92316,-5.23376,-1.67465,-0.01776,-0.05743,1.00964,,-0.37183,0.07542,-0.45512,-0.80556,
43.92969,0.87357,-5.35202,-1.65558,-0.01782,-0.05658,1.00720,,-0.37210,0.07515,-0.45499,-0.80553,
43.93750,0.89645,-5.20325,-1.47247,-0.02179,-0.06274,1.00629,,-0.37235,0.07488,-0.45486,-0.80551,
43.94531,0.85831,-5.22995,-1.51443,-0.02411,-0.06354,1.00610,,-0.37261,0.07462,-0.45474,-0.80549,
43.95313,0.85449,-5.08881,-1.51062,-0.02429,-0.05756,1.00452,,-0.37286,0.07436,-0.45461,-0.80546,
43.96094,0.87738,-5.09262,-1.79672,-0.01892,-0.05817,1.00806,,-0.37313,0.07411,-0.45449,-0.80543,
43.96875,0.82016,-4.99344,-1.86157,-0.01746,-0.05884,1.00977,,-0.37340,0.07387,-0.45437,-0.80540,
43.97656,0.81635,-5.00870,-1.97220,-0.01758,-0.05426,1.00909,,-0.37368,0.07363,-0.45424,-0.80536,
43.98438,0.90408,-4.84085,-1.97220,-0.02460,-0.05566,1.00836,,-0.37395,0.07340,-0.45412,-0.80532,
43.99219,0.82016,-4.81415,-2.05994,-0.02850,-0.05609,1.00720,,-0.37422,0.07318,-0.45400,-0.80528,
44.00000,0.90790,-4.98962,-1.80817,-0.02167,-0.05975,1.00964,,-0.37449,0.07293,-0.45388,-0.80525,
44.00781,0.94604,-5.45120,-1.86539,-0.01001,-0.06219,1.01135,,-0.37477,0.07266,-0.45375,-0.80522,
44.01563,0.88882,-5.69153,-1.78528,-0.01392,-0.06525,1.00916,,-0.37506,0.07238,-0.45362,-0.80519,
44.02344,0.83542,-5.73349,-1.35422,-0.01593,-0.06213,1.00854,,-0.37532,0.07208,-0.45348,-0.80517,
44.03125,0.85831,-5.59998,-1.51443,-0.00836,-0.05267,1.00793,,-0.37559,0.07180,-0.45334,-0.80515,
44.03906,0.80109,-5.54657,-1.59836,-0.00775,-0.05280,1.00940,,-0.37586,0.07152,-0.45320,-0.80512,
44.04688,0.84305,-5.10788,-1.62506,-0.01575,-0.05243,1.01001,,-0.37612,0.07126,-0.45307,-0.80510,
44.05469,0.82779,-4.98581,-1.82343,-0.02228,-0.05261,1.01086,,-0.37639,0.07102,-0.45295,-0.80506,
44.06250,0.69427,-5.00488,-2.04086,-0.02142,-0.05579,1.01001,,-0.37666,0.07079,-0.45282,-0.80503,
44.07031,0.66376,-4.94766,-1.90353,-0.02136,-0.05573,1.00928,,-0.37693,0.07055,-0.45268,-0.80500,
44.07813,0.75150,-5.08499,-1.67847,-0.02203,-0.05780,1.01013,,-0.37719,0.07030,-0.45255,-0.80497,
44.08594,0.77820,-5.40161,-1.49918,-0.02167,-0.06110,1.00903,,-0.37745,0.07003,-0.45242,-0.80495,
44.09375,0.78964,-5.51987,-1.55640,-0.01984,-0.06158,1.00958,,-0.37772,0.06975,-0.45228,-0.80493,
44.10156,0.77820,-5.51605,-1.42288,-0.01825,-0.06207,1.00720,,-0.37798,0.06947,-0.45214,-0.80491,
44.10938,0.75531,-5.34439,-1.42670,-0.01428,-0.05798,1.00616,,-0.37824,0.06920,-0.45200,-0.80489,
44.11719,0.79727,-5.42831,-1.48010,-0.01135,-0.05652,1.00903,,-0.37850,0.06892,-0.45187,-0.80486,
44.12500,0.96512,-5.41687,-1.60217,-0.01019,-0.05634,1.00940,,-0.37876,0.06865,-0.45174,-0.80483,
44.13281,0.92316,-5.22232,-1.66702,-0.02319,-0.05621,1.00684,,-0.37903,0.06838,-0.45161,-0.80480,
44.14063,0.80872,-5.08118,-1.63651,-0.02808,-0.05713,1.00549,,-0.37929,0.06813,-0.45149,-0.80477,
44.14844,0.98419,-4.93240,-1.71661,-0.02484,-0.05573,1.00677,,-0.37955,0.06789,-0.45137,-0.80474,
44.15625,0.80490,-4.98962,-1.63269,-0.02356,-0.05420,1.00897,,-0.37980,0.06764,-0.45125,-0.80471,
44.16406,0.82016,-5.17654,-1.69754,-0.02502,-0.05731,1.00903,,-0.38006,0.06738,-0.45112,-0.80468,
44.17188,0.78583,-5.14603,-1.56403,-0.01794,-0.06207,1.00720,,-0.38032,0.06713,-0.45099,-0.80465,
44.17969,0.88882,-5.34821,-1.57928,-0.01086,-0.06079,1.00629,,-0.38058,0.06685,-0.45086,-0.80462,
44.18750,0.86975,-5.27191,-1.44577,-0.00806,-0.05634,1.00330,,-0.38084,0.06658,-0.45073,-0.80460,
44.19531,0.59128,-4.85229,-1.15967,-0.01520,-0.05554,1.00562,,-0.38106,0.06634,-0.45060,-0.80458,
44.20313,0.96893,-4.74548,-1.30844,-0.01862,-0.05859,1.00812,,-0.38129,0.06609,-0.45049,-0.80456,
44.21094,0.86594,-4.57764,-1.27792,-0.01544,-0.05664,1.00684,,-0.38151,0.06585,-0.45038,-0.80453,
44.21875,0.85068,-4.26865,-1.10245,-0.01648,-0.05249,1.00916,,-0.38171,0.06562,-0.45028,-0.80451,
44.22656,1.05667,-4.44031,-0.89645,-0.03784,-0.05853,1.01166,,-0.38191,0.06538,-0.45018,-0.80449,
44.23438,0.98038,-4.80652,-1.00327,-0.03241,-0.05859,1.00952,,-0.38213,0.06512,-0.45007,-0.80447,
44.24219,0.75912,-5.24139,-1.15204,-0.02502,-0.06055,1.00922,,-0.38236,0.06484,-0.44994,-0.80445,
44.25000,0.84686,-5.45120,-1.47629,-0.01477,-0.06201,1.00922,,-0.38262,0.06456,-0.44980,-0.80443,
44.25781,0.80872,-5.28336,-1.56784,-0.01202,-0.06152,1.00647,,-0.38288,0.06430,-0.44967,-0.80440,
44.26563,0.89264,-5.34821,-1.60980,-0.01483,-0.06146,1.00775,,-0.38315,0.06403,-0.44954,-0.80437,
44.27344,0.82397,-4.99344,-1.88065,-0.01727,-0.05591,1.00861,,-0.38342,0.06379,-0.44941,-0.80433,
44.28125,0.82397,-4.93622,-1.69373,-0.01294,-0.05676,1.00800,,-0.38367,0.06355,-0.44929,-0.80430,
