Gait Up - Physilog data export
Created on: 0000-00-04 06:47:04
Total data points: 818

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
47.50000,-0.04196,-5.33295,-3.28827,0.08319,1.00714,0.15564,,-0.52679,-0.15917,-0.15020,-0.82134,
47.50781,-0.02670,-4.72260,-3.38364,0.08093,1.00879,0.15771,,-0.52702,-0.15942,-0.15009,-0.82116,
47.51563,0.05722,-4.06265,-3.35312,0.07904,1.00928,0.15979,,-0.52725,-0.15963,-0.15001,-0.82099,
47.52344,0.17166,-3.87955,-3.14331,0.07111,1.00812,0.16644,,-0.52746,-0.15984,-0.14994,-0.82082,
47.53125,0.26703,-4.13895,-3.02887,0.06921,1.00757,0.17065,,-0.52767,-0.16007,-0.14987,-0.82066,
47.53906,0.28229,-4.80270,-2.99835,0.06671,1.00250,0.17365,,-0.52788,-0.16033,-0.14977,-0.82049,
47.54688,0.42343,-5.52368,-2.89917,0.06946,1.00281,0.16888,,-0.52809,-0.16065,-0.14965,-0.82032,
47.55469,0.41199,-5.80597,-2.95639,0.06958,1.00476,0.16553,,-0.52831,-0.16097,-0.14952,-0.82013,
47.56250,0.48828,-5.65720,-2.81143,0.07373,1.00879,0.16034,,-0.52851,-0.16130,-0.14941,-0.81996,
47.57031,0.41962,-5.16129,-2.68936,0.07648,1.01318,0.15869,,-0.52871,-0.16159,-0.14930,-0.81979,
47.57813,0.34332,-4.76837,-2.59018,0.07581,1.01440,0.16119,,-0.52890,-0.16186,-0.14920,-0.81964,
47.58594,0.37384,-4.28009,-2.28500,0.07025,1.01398,0.16559,,-0.52906,-0.16211,-0.14912,-0.81950,
47.59375,0.14496,-4.34875,-2.09427,0.06781,1.01245,0.17090,,-0.52922,-0.16236,-0.14902,-0.81937,
47.60156,0.06485,-4.66919,-1.95313,0.06659,1.01086,0.17468,,-0.52937,-0.16262,-0.14890,-0.81924,
47.60938,0.07248,-5.35583,-1.96457,0.06451,1.00763,0.17334,,-0.52953,-0.16292,-0.14876,-0.81910,
47.61719,0.20599,-5.78690,-2.03705,0.06671,1.00970,0.16455,,-0.52970,-0.16325,-0.14861,-0.81895,
47.62500,0.23270,-5.84030,-2.09808,0.06738,1.01251,0.16187,,-0.52987,-0.16358,-0.14847,-0.81880,
47.63281,0.16022,-5.62668,-2.36893,0.07202,1.01508,0.16052,,-0.53006,-0.16389,-0.14832,-0.81865,
47.64063,0.11063,-4.81415,-2.43759,0.07202,1.01355,0.16406,,-0.53024,-0.16416,-0.14821,-0.81850,
47.64844,0.04578,-4.23050,-2.25067,0.07050,1.01447,0.16571,,-0.53040,-0.16439,-0.14811,-0.81836,
47.65625,0.01144,-4.20761,-2.23160,0.06427,1.01331,0.16870,,-0.53057,-0.16462,-0.14801,-0.81822,
47.66406,-0.01144,-4.65393,-1.91879,0.06104,1.01141,0.17188,,-0.53072,-0.16488,-0.14789,-0.81810,
47.67188,-0.23270,-5.44357,-1.81580,0.06342,1.01007,0.17700,,-0.53087,-0.16517,-0.14773,-0.81796,
47.67969,-0.35477,-5.87463,-1.81198,0.06537,1.00836,0.17969,,-0.53104,-0.16549,-0.14754,-0.81783,
47.68750,-0.43869,-6.42776,-1.52969,0.06378,1.00641,0.17792,,-0.53119,-0.16583,-0.14733,-0.81770,
47.69531,-0.54169,-6.55365,-1.62888,0.06738,1.00818,0.17285,,-0.53135,-0.16618,-0.14711,-0.81756,
47.70313,-0.57983,-6.43921,-1.45340,0.07025,1.00854,0.17242,,-0.53150,-0.16652,-0.14688,-0.81744,
47.71094,-0.61417,-5.99289,-1.51443,0.07025,1.01074,0.17139,,-0.53165,-0.16684,-0.14668,-0.81731,
47.71875,-0.61798,-5.66101,-1.41525,0.06915,1.00928,0.17487,,-0.53179,-0.16713,-0.14648,-0.81720,
47.72656,-0.56839,-5.48935,-1.31226,0.06903,1.00708,0.17682,,-0.53192,-0.16742,-0.14629,-0.81709,
47.73438,-0.46158,-5.44739,-1.04141,0.06604,1.00403,0.17932,,-0.53203,-0.16772,-0.14610,-0.81698,
47.74219,-0.40817,-5.72586,-1.03378,0.06775,1.00256,0.18280,,-0.53215,-0.16803,-0.14591,-0.81688,
47.75000,-0.40054,-5.74875,-0.97656,0.06927,1.00293,0.18378,,-0.53227,-0.16834,-0.14572,-0.81677,
47.75781,-0.14877,-5.80215,-0.76294,0.06726,1.00122,0.17847,,-0.53236,-0.16867,-0.14553,-0.81667,
47.76563,0.11444,-5.98907,-0.64087,0.06677,1.00226,0.17700,,-0.53246,-0.16902,-0.14536,-0.81657,
47.77344,0.38528,-5.92041,-0.66376,0.07050,1.00323,0.17719,,-0.53254,-0.16938,-0.14520,-0.81647,
47.78125,0.40436,-5.48935,-0.66757,0.07605,1.00696,0.18158,,-0.53263,-0.16971,-0.14505,-0.81637,
47.78906,0.44250,-5.32150,-0.56839,0.07257,1.00720,0.18732,,-0.53271,-0.17003,-0.14492,-0.81628,
47.79688,0.53787,-5.42450,-0.54169,0.07343,1.00665,0.18884,,-0.53278,-0.17037,-0.14478,-0.81618,
47.80469,0.67902,-5.74112,-0.51117,0.07288,1.00842,0.18811,,-0.53286,-0.17072,-0.14464,-0.81609,
47.81250,0.62943,-6.24466,-0.48447,0.07507,1.00519,0.18793,,-0.53293,-0.17111,-0.14448,-0.81598,
47.82031,0.63705,-6.47736,-0.46158,0.07715,1.00378,0.18829,,-0.53301,-0.17150,-0.14431,-0.81588,
47.82813,0.68665,-6.67953,-0.43106,0.08118,1.00464,0.18274,,-0.53309,-0.17191,-0.14414,-0.81577,
47.83594,0.74387,-6.37054,-0.52261,0.08215,1.00739,0.17627,,-0.53317,-0.17231,-0.14398,-0.81566,
47.84375,0.76675,-6.08826,-0.63324,0.08350,1.00482,0.17688,,-0.53326,-0.17269,-0.14384,-0.81555,
47.85156,0.82779,-5.92804,-0.69427,0.08368,1.00421,0.17712,,-0.53334,-0.17306,-0.14370,-0.81544,
47.85938,0.97275,-5.83267,-0.68283,0.08160,1.00122,0.18066,,-0.53342,-0.17343,-0.14358,-0.81533,
47.86719,1.10245,-6.00433,-0.86212,0.07587,0.99878,0.18396,,-0.53352,-0.17381,-0.14346,-0.81521,
47.87500,1.27792,-6.19125,-0.85449,0.07593,0.99774,0.18793,,-0.53361,-0.17421,-0.14334,-0.81509,
47.88281,1.48392,-6.45065,-0.99182,0.07709,0.99640,0.18420,,-0.53370,-0.17463,-0.14322,-0.81495,
47.89063,1.87302,-6.27518,-1.20926,0.07953,0.99835,0.17474,,-0.53381,-0.17506,-0.14314,-0.81481,
47.89844,2.04086,-6.04630,-1.23215,0.08057,0.99847,0.17084,,-0.53391,-0.17547,-0.14307,-0.81467,
47.90625,2.26974,-5.05829,-1.29318,0.08185,0.99902,0.16907,,-0.53400,-0.17584,-0.14306,-0.81453,
47.91406,2.33841,-4.36020,-1.26266,0.08337,0.99982,0.17108,,-0.53408,-0.17618,-0.14307,-0.81440,
47.92188,2.43378,-4.15039,-1.18637,0.08173,1.00146,0.17456,,-0.53416,-0.17650,-0.14309,-0.81428,
47.92969,2.20108,-4.36020,-1.06049,0.07556,1.00189,0.17847,,-0.53423,-0.17683,-0.14309,-0.81416,
47.93750,2.22778,-4.84467,-1.11008,0.07581,1.00201,0.17548,,-0.53431,-0.17719,-0.14308,-0.81403,
47.94531,1.96838,-5.15747,-1.11008,0.07666,1.00299,0.17230,,-0.53440,-0.17755,-0.14304,-0.81390,
47.95313,1.93787,-5.76019,-1.25885,0.07568,1.00348,0.16986,,-0.53450,-0.17795,-0.14298,-0.81376,
47.96094,1.56403,-5.94330,-1.42670,0.07721,1.00043,0.17102,,-0.53461,-0.17834,-0.14289,-0.81361,
47.96875,1.54114,-5.85175,-1.60599,0.07532,0.99951,0.17053,,-0.53474,-0.17872,-0.14281,-0.81346,
47.97656,1.39999,-5.97000,-1.67084,0.07556,0.99780,0.17578,,-0.53487,-0.17911,-0.14272,-0.81331,
47.98438,1.25122,-6.09589,-1.82343,0.07227,0.99670,0.18097,,-0.53501,-0.17949,-0.14261,-0.81315,
47.99219,1.33514,-6.33240,-1.77383,0.07227,0.99561,0.18201,,-0.53515,-0.17989,-0.14250,-0.81299,
48.00000,1.30463,-6.63757,-1.57928,0.07385,0.99750,0.17706,,-0.53529,-0.18031,-0.14238,-0.81283,
48.00781,1.49155,-6.53076,-1.56021,0.07684,0.99854,0.17340,,-0.53542,-0.18073,-0.14227,-0.81267,
48.01563,1.62125,-6.17981,-1.62125,0.07904,1.00043,0.17267,,-0.53554,-0.18113,-0.14218,-0.81251,
48.02344,1.64795,-5.72968,-1.74713,0.07928,1.00189,0.17114,,-0.53567,-0.18151,-0.14211,-0.81235,
48.03125,1.67465,-5.41687,-1.69373,0.07922,1.00500,0.17682,,-0.53580,-0.18187,-0.14205,-0.81220,
48.03906,1.64413,-5.55038,-1.72424,0.07776,1.00293,0.18060,,-0.53592,-0.18224,-0.14198,-0.81204,
48.04688,1.68610,-5.86319,-1.62506,0.07825,1.00226,0.18274,,-0.53605,-0.18263,-0.14191,-0.81189,
48.05469,1.78528,-6.83594,-1.75476,0.08093,1.00049,0.18512,,-0.53619,-0.18307,-0.14180,-0.81171,
48.06250,1.86920,-7.37381,-1.81961,0.08777,1.00189,0.18054,,-0.53633,-0.18355,-0.14169,-0.81153,
48.07031,1.97220,-7.53021,-1.69754,0.08948,1.00134,0.17694,,-0.53647,-0.18404,-0.14157,-0.81135,
48.07813,1.91116,-7.38525,-1.62125,0.09692,1.00256,0.16528,,-0.53661,-0.18452,-0.14145,-0.81117,
48.08594,2.07138,-6.68716,-1.51062,0.10535,1.00830,0.16071,,-0.53673,-0.18497,-0.14136,-0.81100,
48.09375,2.09045,-6.05011,-1.39236,0.10504,1.01056,0.16034,,-0.53683,-0.18539,-0.14130,-0.81085,
48.10156,2.21634,-5.29099,-1.46866,0.10406,1.01428,0.15997,,-0.53693,-0.18577,-0.14127,-0.81070,
48.10938,2.43378,-4.97055,-1.65558,0.10248,1.01764,0.16040,,-0.53704,-0.18613,-0.14127,-0.81055,
48.11719,2.47955,-4.93622,-1.73187,0.09900,1.01575,0.16107,,-0.53715,-0.18650,-0.14128,-0.81039,
48.12500,2.65121,-5.01633,-2.13623,0.09491,1.01361,0.16089,,-0.53728,-0.18687,-0.14129,-0.81021,
48.13281,2.60162,-5.34058,-2.83813,0.09442,1.01379,0.15747,,-0.53745,-0.18725,-0.14130,-0.81001,
