Gait Up - Physilog data export
Created on: 0000-00-05 02:03:01
Total data points: 17922

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
80.00781,4.45618,-4.65057,-173.18527,0.01318,0.19379,1.02161,,0.66443,-0.55256,0.50313,-0.00877,
80.01563,4.37393,-4.68796,-173.14041,0.02246,0.19244,1.00940,,0.66467,-0.55821,0.49632,-0.01658,
80.02344,4.29169,-4.57581,-173.06564,0.00787,0.19171,1.02020,,0.66482,-0.56378,0.48945,-0.02439,
80.03125,4.35898,-4.79263,-173.20770,0.02679,0.19360,1.01563,,0.66489,-0.56928,0.48250,-0.03220,
80.03906,4.41879,-4.62814,-173.06564,0.01422,0.19238,1.01337,,0.66485,-0.57469,0.47550,-0.04000,
80.04688,4.34402,-4.80011,-173.26752,0.01965,0.19287,1.01715,,0.66473,-0.58003,0.46841,-0.04780,
80.05469,4.28421,-4.79263,-173.26004,0.02936,0.19281,1.00958,,0.66451,-0.58529,0.46126,-0.05560,
80.06250,4.42627,-4.53842,-173.00583,0.00787,0.19250,1.01660,,0.66420,-0.59046,0.45407,-0.06339,
80.07031,4.31412,-4.83749,-173.24509,0.03094,0.19373,1.01324,,0.66380,-0.59555,0.44679,-0.07117,
80.07813,4.36646,-4.53094,-172.93854,0.01117,0.19238,1.01508,,0.66330,-0.60055,0.43948,-0.07894,
80.08594,4.35150,-4.55338,-173.06564,0.00867,0.19244,1.02014,,0.66271,-0.60546,0.43211,-0.08671,
80.09375,4.35898,-4.72534,-173.15536,0.02484,0.19128,1.00787,,0.66203,-0.61030,0.42466,-0.09447,
80.10156,4.41879,-4.58328,-172.98340,0.00708,0.19226,1.01941,,0.66125,-0.61504,0.41716,-0.10221,
80.10938,4.37393,-4.74030,-173.18527,0.02307,0.19275,1.01630,,0.66039,-0.61970,0.40960,-0.10994,
80.11719,4.29916,-4.56085,-172.97592,0.01776,0.19183,1.01062,,0.65943,-0.62427,0.40199,-0.11766,
80.12500,4.39636,-4.71039,-173.14789,0.01563,0.19196,1.02020,,0.65838,-0.62876,0.39432,-0.12536,
80.13281,4.35898,-4.85992,-173.20770,0.03040,0.19275,1.01239,,0.65724,-0.63316,0.38658,-0.13305,
80.14063,4.41879,-4.59824,-172.95349,0.01080,0.19031,1.01508,,0.65600,-0.63746,0.37881,-0.14072,
80.14844,4.36646,-4.83002,-173.15536,0.02765,0.19391,1.01398,,0.65468,-0.64168,0.37097,-0.14837,
80.15625,4.26926,-4.65805,-173.08060,0.02405,0.19073,1.01050,,0.65326,-0.64582,0.36309,-0.15600,
80.16406,4.32159,-4.66553,-172.96844,0.00812,0.19153,1.01794,,0.65175,-0.64985,0.35517,-0.16361,
80.17188,4.29169,-4.81506,-173.06564,0.02850,0.19135,1.01093,,0.65015,-0.65381,0.34719,-0.17119,
80.17969,4.34402,-4.54590,-172.93106,0.01538,0.19055,1.01202,,0.64845,-0.65766,0.33918,-0.17876,
80.18750,4.20944,-4.80011,-173.11050,0.01813,0.19141,1.01746,,0.64667,-0.66143,0.33110,-0.18630,
80.19531,4.21692,-4.65805,-173.11050,0.02032,0.19116,1.01245,,0.64478,-0.66510,0.32298,-0.19383,
80.20313,4.35150,-4.54590,-172.88620,0.00885,0.19092,1.01678,,0.64282,-0.66868,0.31484,-0.20132,
80.21094,4.40384,-4.91226,-173.11798,0.02802,0.19281,1.01306,,0.64077,-0.67216,0.30662,-0.20879,
80.21875,4.27673,-4.57581,-172.99088,0.01349,0.19098,1.01202,,0.63862,-0.67555,0.29839,-0.21623,
80.22656,4.26926,-4.52347,-173.11798,0.00732,0.19171,1.01764,,0.63638,-0.67885,0.29011,-0.22366,
80.23438,4.24683,-4.97955,-173.07312,0.02747,0.19171,1.01257,,0.63406,-0.68205,0.28177,-0.23103,
80.24219,4.47861,-4.59824,-173.01331,0.00708,0.19165,1.01727,,0.63165,-0.68515,0.27342,-0.23839,
80.25000,4.33655,-4.83749,-173.19275,0.01874,0.19165,1.01526,,0.62915,-0.68816,0.26500,-0.24571,
80.25781,4.23935,-4.63562,-173.04321,0.01947,0.19098,1.01361,,0.62656,-0.69108,0.25657,-0.25300,
80.26563,4.33655,-4.74777,-173.13293,0.01361,0.19177,1.01868,,0.62388,-0.69389,0.24810,-0.26026,
80.27344,4.35898,-4.85245,-173.09555,0.02234,0.19073,1.01337,,0.62112,-0.69661,0.23959,-0.26748,
80.28125,4.32159,-4.62067,-173.05817,0.01233,0.19086,1.01184,,0.61826,-0.69923,0.23105,-0.27467,
80.28906,4.33655,-4.87488,-173.19275,0.02673,0.19177,1.01349,,0.61532,-0.70176,0.22247,-0.28182,
80.29688,4.33655,-4.60571,-173.07312,0.01617,0.19086,1.01355,,0.61229,-0.70418,0.21388,-0.28894,
80.30469,4.37393,-4.53094,-173.11798,0.00751,0.18921,1.01605,,0.60918,-0.70650,0.20526,-0.29602,
80.31250,4.25430,-4.86740,-173.22266,0.02997,0.19067,1.01404,,0.60597,-0.70874,0.19659,-0.30305,
80.32031,4.32159,-4.57581,-173.01331,0.00916,0.19055,1.01666,,0.60269,-0.71086,0.18792,-0.31005,
80.32813,4.38141,-4.78516,-173.13293,0.01703,0.19202,1.01825,,0.59932,-0.71289,0.17921,-0.31701,
80.33594,4.28421,-4.73282,-173.05817,0.02374,0.19086,1.01636,,0.59586,-0.71482,0.17048,-0.32391,
80.34375,4.35150,-4.56085,-172.99835,0.01050,0.19104,1.01660,,0.59233,-0.71664,0.16174,-0.33079,
80.35156,4.29916,-4.80759,-173.09555,0.02960,0.19073,1.01276,,0.58870,-0.71837,0.15296,-0.33760,
80.35938,4.26926,-4.59824,-172.89368,0.01581,0.18976,1.01367,,0.58500,-0.71999,0.14418,-0.34438,
80.36719,4.41879,-4.88983,-173.16284,0.02356,0.18976,1.01221,,0.58121,-0.72152,0.13535,-0.35111,
80.37500,4.35150,-4.90479,-173.02826,0.03027,0.19012,1.01392,,0.57735,-0.72295,0.12652,-0.35778,
80.38281,4.24683,-4.66553,-172.90115,0.00879,0.18866,1.01385,,0.57340,-0.72428,0.11768,-0.36441,
80.39063,4.39636,-4.88983,-173.13293,0.03217,0.18976,1.01544,,0.56937,-0.72550,0.10881,-0.37099,
80.39844,4.24683,-4.70291,-172.91611,0.02277,0.18964,1.01520,,0.56525,-0.72662,0.09994,-0.37752,
80.40625,4.29916,-4.65057,-172.98340,0.01306,0.19000,1.01392,,0.56106,-0.72764,0.09106,-0.38400,
80.41406,4.26178,-4.80011,-172.90115,0.02594,0.19031,1.01520,,0.55679,-0.72856,0.08217,-0.39043,
80.42188,4.29169,-4.68796,-172.87125,0.01599,0.18878,1.01239,,0.55244,-0.72938,0.07327,-0.39680,
80.42969,4.30664,-4.82254,-173.04321,0.02576,0.18921,1.01208,,0.54801,-0.73009,0.06435,-0.40312,
80.43750,4.30664,-4.69543,-172.84882,0.01801,0.18939,1.01587,,0.54351,-0.73071,0.05543,-0.40938,
80.44531,4.27673,-4.74030,-173.06564,0.01910,0.19006,1.01312,,0.53892,-0.73122,0.04650,-0.41559,
80.45313,4.32159,-4.95712,-172.99835,0.03198,0.19025,1.01514,,0.53427,-0.73163,0.03756,-0.42174,
80.46094,4.24683,-4.60571,-172.92358,0.01233,0.18884,1.01556,,0.52953,-0.73194,0.02863,-0.42784,
80.46875,4.29916,-5.04684,-173.05069,0.03113,0.19031,1.01227,,0.52472,-0.73215,0.01967,-0.43387,
80.47656,4.41879,-4.83002,-172.99088,0.02496,0.18939,1.01849,,0.51984,-0.73225,0.01072,-0.43984,
80.48438,4.32159,-4.59824,-172.95349,0.01019,0.18958,1.01227,,0.51489,-0.73224,0.00179,-0.44577,
80.49219,4.24683,-4.85992,-172.96844,0.02899,0.19037,1.01544,,0.50985,-0.73215,-0.00716,-0.45162,
80.50000,4.38141,-4.65057,-172.82639,0.01776,0.18896,1.01660,,0.50476,-0.73194,-0.01609,-0.45742,
80.50781,4.26926,-4.90479,-173.03574,0.02283,0.18994,1.01074,,0.49958,-0.73164,-0.02503,-0.46314,
80.51563,4.27673,-4.73282,-172.90863,0.02252,0.19037,1.01550,,0.49434,-0.73123,-0.03396,-0.46881,
80.52344,4.19449,-4.69543,-172.80396,0.01343,0.18945,1.01355,,0.48902,-0.73072,-0.04287,-0.47442,
80.53125,4.35150,-4.98703,-173.02078,0.03308,0.19092,1.01599,,0.48363,-0.73011,-0.05180,-0.47995,
80.53906,4.30664,-4.70291,-172.75909,0.01355,0.18909,1.01367,,0.47819,-0.72940,-0.06069,-0.48542,
80.54688,4.23935,-4.68796,-172.94601,0.01172,0.18842,1.01160,,0.47266,-0.72858,-0.06958,-0.49083,
80.55469,4.47113,-4.87488,-172.89368,0.02917,0.18976,1.01947,,0.46709,-0.72766,-0.07848,-0.49617,
80.56250,4.26178,-4.55338,-172.74414,0.01141,0.18848,1.01190,,0.46144,-0.72664,-0.08733,-0.50144,
80.57031,4.32907,-4.83749,-172.87872,0.02393,0.18958,1.01233,,0.45572,-0.72552,-0.09619,-0.50664,
80.57813,4.29169,-4.71786,-172.75162,0.01990,0.19147,1.01666,,0.44994,-0.72430,-0.10503,-0.51177,
80.58594,4.36646,-4.71039,-172.84882,0.01880,0.19055,1.01044,,0.44410,-0.72298,-0.11385,-0.51684,
80.59375,4.38141,-4.93469,-172.95349,0.03204,0.19049,1.01624,,0.43819,-0.72156,-0.12268,-0.52182,
80.60156,4.31412,-4.65057,-172.79648,0.01312,0.18933,1.01245,,0.43222,-0.72003,-0.13146,-0.52674,
80.60938,4.43375,-5.01694,-172.96097,0.03003,0.19000,1.01227,,0.42619,-0.71841,-0.14025,-0.53158,
80.61719,4.34402,-4.81506,-172.94601,0.02600,0.19037,1.01721,,0.42009,-0.71669,-0.14900,-0.53636,
80.62500,4.15710,-4.62067,-172.94601,0.01086,0.18933,1.01074,,0.41393,-0.71487,-0.15772,-0.54107,
80.63281,4.29169,-4.91226,-172.96097,0.03003,0.19092,1.01849,,0.40771,-0.71295,-0.16644,-0.54569,
80.64063,4.20197,-4.71039,-172.91611,0.01031,0.19000,1.01202,,0.40143,-0.71093,-0.17511,-0.55025,
80.64844,4.32159,-4.79263,-173.00583,0.02075,0.18964,1.01068,,0.39509,-0.70881,-0.18377,-0.55472,
80.65625,4.29169,-4.69543,-172.87872,0.02332,0.19159,1.01880,,0.38871,-0.70659,-0.19240,-0.55913,
80.66406,4.26178,-4.65057,-173.05817,0.01605,0.18933,1.01233,,0.38226,-0.70427,-0.20100,-0.56346,
